name,short_name,dorm_type,has_ac,size,campus_side,address,dining,female_only,freshmen_only,open_gender,style,blurb,singles,doubles,cost,master,dist_to_tech,dist_to_norris,dist_to_bk,dist_to_kresge,room_dimensions
1835 Hinman,1835 Hinman,Residence Hall,TRUE,231,South,1835 Hinman Avenue,TRUE,FALSE,FALSE,TRUE,,"One of the southern-most residence halls, 1835 Hinman is located just a few blocks from downtown Evanston and has its own dining hall on the first floor. Hinman is an open suite-style residence hall with single- and double-occupancy rooms and is open to all undergraduate students, but houses mainly freshman and sophomores.",56,85,2672,,13 mins,6 mins,6 mins,3 mins,"14'4"" by 11'6"""
Allison Residential Community,Allison,Residential Community,TRUE,343,South,1820 Chicago Avenue,TRUE,FALSE,FALSE,FALSE,,,1,163,2735,,12 mins,7 mins,3 mins,4 mins,"17'6"" by 12'2"""
Ayers College of Commerce & Industry,Ayers,Residential College,TRUE,170,North,2324 Campus Drive,FALSE,FALSE,FALSE,FALSE,,,10,78,2735,Sara C. Broaders,6 mins,10 mins,19 mins,14 mins,"17'3"" by 11'7"""
Bobb/McCulloch Hall,Bobb/McCulloch,Residence Hall,TRUE,495,North,2305 Sheridan Road,FALSE,FALSE,FALSE,FALSE,,,2,236,2520,,5 mins,10 mins,18 mins,13 mins,15' by 12'
Chapin Hall,Chapin,Residential College,TRUE,72,South,726 University Place,FALSE,FALSE,FALSE,FALSE,,,2,34,2735,Susan Lee,13 mins,10 mins,4 mins,7 mins,"18'5"" by 13'2"""
College of Cultural and Community Studies,College of Cultural and Community Studies,Residential College,TRUE,43,North,2303 Sheridan Road,FALSE,FALSE,FALSE,FALSE,,,16,12,2735,,1 min,13 mins,10 mins,16 mins,"12'3"" by 12'10"""
East Fairchild (Communications Residential College),East Fairchild,Residential College,TRUE,108,South,1855 Sheridan Road,FALSE,FALSE,FALSE,FALSE,,,29,38,2735,Roger Boye,12 mins,5 mins,7 mins,2 mins,"14'6"" by 11'7"""
Elder Residential Community,Elder,Residential Community,TRUE,347,North,2400 Sheridan Road,TRUE,FALSE,TRUE,FALSE,,,5,164,2735,,6 mins,13 mins,18 mins,15 mins,"15'3"" by 11'8"""
GREEN House,GREEN House,Special Interest Housing,TRUE,42,North,2303 Sheridan Road,FALSE,FALSE,FALSE,FALSE,,,16,10,2735,,1 min,13 mins,10 mins,16 mins,
Hobart House (Womens Residential College),Hobart House,Residential College,FALSE,50,South,630 Emerson Street,FALSE,TRUE,FALSE,FALSE,,,13,18,2735,Jeanne Weiland Herrick,10 mins,7 mins,5 mins,5 mins,"14'5"" by 12'6"""
Jones Fine and Performing Arts Residential College,Jones,Residential College,TRUE,118,South,1820 Sheridan Road,FALSE,FALSE,FALSE,FALSE,,,16,49,2735,Mary M. Poole,14 mins,6 mins,7 mins,4 mins,"14'4"" by 11'8"""
North Mid-Quads Residence Hall,North Mid-Quads,Residence Hall,FALSE,85,South,650 Emerson Street,FALSE,FALSE,FALSE,FALSE,,,21,31,2703,,12 mins,8 mins,3 mins,6 mins,"14'8"" by 11'2"""
Public Affairs Residential College,Public Affairs,Residential College,TRUE,113,South,1838 Chicago Avenue,FALSE,FALSE,FALSE,FALSE,,,33,39,2735,Lane Fenrich,10 mins,6 mins,4 mins,3 mins,"14'6"" by 11'8"""
Rogers House Residence Hall,Rogers House,Residence Hall,FALSE,49,South,647 University Place,FALSE,FALSE,FALSE,FALSE,,,12,18,2703,,11 mins,7 mins,4 mins,5 mins,
Sargent Hall,Sargent Hall,Residence Hall,FALSE,157,North,2245 Sheridan Road,TRUE,FALSE,FALSE,FALSE,,,2,75,2520,,4 mins,8 mins,16 mins,12 mins,"12' by 14'10"""
Shepard Residential College,Shepard,Residential College,FALSE,183,South,626 University Place,FALSE,FALSE,FALSE,FALSE,,,7,84,2543,David Uttal,11 mins,7 mins,4 mins,5 mins,"15'4"" by 12'3"""
Slivka Residential College,Slivka,Residential College,TRUE,141,North,2332 Campus Drive,FALSE,FALSE,FALSE,FALSE,,"Slivka Hall is located on North campus within the fraternity quad and is home to both the College of Science and Engineering and Lisa’s Café. It has suites with both singles and doubles, study lounges, a recreation room, a science and engineering lab, kitchens on every floor and a music practice room. It is open to all undergraduates.",71,33,2897,Gary Galbreath,6 mins ,11 mins,18 mins,14 mins,
South Mid-Quads Residence Hall,South Mid-Quads,Residence Hall,FALSE,88,South,655 University Place,FALSE,FALSE,FALSE,FALSE,,"South Mid-Quads (SMQ), a small residence hall of mostly freshmen, boasts a tight-knit community and convenient location, just a short walk from downtown Evanston, the sorority quad and Willard, Allison and Foster-Walker dining halls. The hall has four co-ed floors.",18,34,2703,,12 mins,8 mins,3 mins,6 mins,"14'8"" by 11'2"""
West Fairchild (International Studies Residential College),West Fairchild,Residential College,TRUE,106,South,1861 Sheridan Road,FALSE,FALSE,FALSE,FALSE,,,27,38,2735,Alec Klein,12 mins,5 mins,7 mins,1 min,"14'6"" by 11'7"""
Willard Residential College,Willard,Residential College,FALSE,290,South,1865 Sherman Avenue,TRUE,FALSE,FALSE,FALSE,,"Willard Residential College, named after Frances Willard, is a larger multi-thematic residential college on south campus. With a wide range of majors across all Northwestern schools, the “Wooshack” prides itself in social and academic diversity and quirky events.",32,115,2577,Gary Saul Morson,9 mins,5 mins,6 mins,3 mins,"18' by 12'2"""
