name,short_name,slug,dorm_type,has_ac,size,campus_side,address,dining,female_only,freshmen_only,open_gender,blurb,singles,doubles,triples,cost,dist_to_tech,dist_to_norris,dist_to_bk,dist_to_kresge,room_dimensions,freshmen,sophomores,juniors,seniors,video_embed
1835 Hinman,1835 Hinman,1835-hinman,Hall,True,231,South,1835 Hinman Avenue,True,False,False,True,"One of the southernmost halls, 1835 Hinman is located just a few blocks from downtown Evanston and has its own dining hall on the first floor. Hinman is an open suite-style residence hall with single- and double-occupancy rooms and is open to all undergraduate students, but houses mainly freshman and sophomores.",61,85,0,2672,13,6,6,3,"14'4"" by 11'6""",98,74,24,2,http://player.vimeo.com/video/66173007
Allison Residential Community,Allison,allison,Community,True,343,South,1820 Chicago Avenue,True,False,False,False,"Located near downtown Evanston on the south end of campus, Allison Residential Community has newer facilities and a dining hall. Allison is one of the bigger housing facilities on South Campus, housing more than 350 students — mostly underclassmen — in mostly doubles and triples.",8,163,3,2735,12,7,3,4,"17'6"" by 12'2""",182,136,14,1,http://player.vimeo.com/video/66173008
Ayers College of Commerce and Industry,Ayers,ayers,College,True,170,North,2324 Campus Drive,False,False,False,False,"Ayers Residential College, also known as the College of Commerce and Industry (CCI), is a mid-sized residential college themed for students interested in business and economics. Located in the heart of North Campus, it houses mostly freshmen and sophomores.",14,78,0,2735,6,10,19,14,"17'3"" by 11'7""",100,55,8,1,http://player.vimeo.com/video/66173006
Bobb/McCulloch Hall,Bobb/McCulloch,bobb-mcculloch,Hall,True,495,North,2305 Sheridan Road,False,False,False,False,"Two distinct buildings connect to form Bobb-McCulloch Hall. All floors are connected, excluding the ground floor of both halls which typically houses a single gender. Freshmen and sophomores of various majors and personality types live in Bobb. Each floor has its own small lounge while the ground floors of both Bobb and McCulloch have larger lounges. Bobb-McCulloch is centrally located near Tech, the fraternity quad and two of Northwestern’s three on-campus gyms.",17,236,2,2520,5,10,18,13,15' by 12',259,193,12,0,http://player.vimeo.com/video/66173716
Chapin Hall,Chapin,chapin,College,True,72,South,726 University Place,False,False,False,False,"Chapin Hall, home of the Humanities Residential College, is in the southwestern part of campus. While it may be the smallest residential college, it has the biggest rooms of any housing facility at Northwestern.",4,34,0,2735,13,10,4,7,"18'5"" by 13'2""",48,21,0,0,http://player.vimeo.com/video/66204697
College of Cultural and Community Studies,College of Cultural and Community Studies,college-of-cultural-and-community-studies,College,True,43,North,2303 Sheridan Road,False,False,False,False,"The Residential College of Cultural and Community Studies, or CCS, houses a group of students proud of their home. Culture and philanthropy-themed bonding events foster a small, tight-knit community located on North Campus. CCS shares a building with GREEN House.",16,12,1,2735,1,13,10,16,"12'3"" by 12'10""",23,9,5,1,http://player.vimeo.com/video/66207980
East Fairchild (Communications Residential College),East Fairchild,east-fairchild,College,True,108,South,1855 Sheridan Road,False,False,False,False,"East Fairchild, also known as Communications Residential College, is a smaller housing facility on South Campus that houses mainly freshmen and sophomores. Many of the students who live here are Journalism or Radio/Television/Film majors, though students of many other majors live in East Fairchild. The residential college has many unique traditions, including Radiothon, which is a 50-hour continuous radio show that raises money for charity.",32,38,0,2735,12,5,7,2,"14'6"" by 11'7""",67,30,4,0,http://player.vimeo.com/video/66173715
Elder Residential Community,Elder,elder,Community,True,347,North,2400 Sheridan Road,True,False,True,False,"Elder Residential Community is a large, coed, all-freshman dorm located on North Campus. Elder houses about 345 freshmen, and the residential community is close to the fraternities and Tech, which houses many science and engineering classes. Elder also has a dining hall in its basement. Social community-sponsored activities include weekly munchies and a formal in the fall.",19,164,0,2735,6,13,18,15,"15'3"" by 11'8""",316,15,0,0,"<iframe src=""http://player.vimeo.com/video/66215996"" width=""660"" height=""371"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe> <p><a href=""http://vimeo.com/66215996"">Elder</a> from <a href=""http://vimeo.com/northbynorthwestern"">North by Northwestern</a> on <a href=""http://vimeo.com"">Vimeo</a>.</p>"
GREEN House,GREEN House,green-house,Special Interest,True,42,North,2303 Sheridan Road,False,False,False,False,"GREEN House is a residential college located on the northern end of campus, consisting of about 50 students dedicated to sustainability and environmental awareness both at Northwestern and around the world.  Residents come from a variety of majors and interests and participate in dorm activities as well as campus events on green living. GREEN House shares a building with CCS.",16,10,2,2735,1,13,10,16,,17,20,3,1,http://player.vimeo.com/video/66173714
Hobart House (Womens Residential College),Hobart House,hobart-house,College,False,50,South,630 Emerson Street,False,True,False,False,"Hobart House, the women’s residential college, is the only all-girls housing facility on campus. This residential college houses about 47 women including the community assistant on the east end of sorority quad.",14,18,0,2735,10,7,5,5,"14'5"" by 12'6""",33,14,2,0,http://player.vimeo.com/video/66174206
